Name,EPI300_pCC1_ATF1_Ara,EPI300_pCC1_ATF1_Ara_iAAL
"(1,1-Dideuteriocyclopropyl)acetaldehyde ",25794,64798
"(2S,3S)-3-Azido-3-[(1-benzyloxy)cyclopropyl]-1,2-propanediol",69384,71919
"(3R*,4R*,5R*,6S*)-[(3,5-Dimethyl-4,6-bis-((tert-butyldimethylsilyl)oxy)-1-cy...",8192,52188
"(4S,6S,1E)-3-(Acetoxymethylene)-6,7-dihydroxy-7,11-dimethyldodeca-1,10-dien-...",13539,9593
"(E)-Deca-1,6-dien-3-one",28097,25959
(R)-(+)-1-(3-tetrahydrofuryl)-1-oxo-2-hexyne,12187,2695
(Z)-1-Amino-2-propananone -O-methyloxime,27116,22301
"1'-Deoxy-1'-(phenylsulfonyl)methylene]-2',3'-isopropylidene-.beta.-D-ribofur...",59603,55617
"1'-Deoxy-1'-(phenylsulfonyl)methylene]-2',3'-isopropylidene-.beta.-D-ribofur...",29266,56130
"1'-Deoxy-1'-(phenylsulfonyl)methylene]-2',3'-isopropylidene-.beta.-D-ribofur...",89058,22029
"1,1'-Ethylenedi-2-imidazoline",8062,8087
"1,1,1,3,5,7,9,11,11,11-Decamethyl-5-(trimethylsiloxy)hexasiloxane",438067,282422
"1,2-Benzenediol, O-(4-ethylbenzoyl)-O'-propargyloxycarbonyl-",77636,25195
"1,2-Benzenediol, O-(4-ethylbenzoyl)-O'-propargyloxycarbonyl-",30025,14170
"1,6,10-Dodecatrien-3-ol, 3,7,11-trimethyl-, (E)-",3662778,3882555
"1-(3,5-Dibromo-4-hydroxyphenyl)-3,3-dimethylbutan-2-one",24705,27270
1-(3-Methylbut-2-enyloxy)butan-2-one,9534,33093
1-(p-Methoxyphenyl)-3-phenyloxy-4-oxoazetidine-2-N-benzylN-methylenenitrone,81577,115762
1-(p-Methoxyphenyl)-3-phenyloxy-4-oxoazetidine-2-N-benzylN-methylenenitrone,30972,34017
1-(p-Methoxyphenyl)-3-phenyloxy-4-oxoazetidine-2-N-benzylN-methylenenitrone,18975,37229
1-(p-Methoxyphenyl)-3-phenyloxy-4-oxoazetidine-2-N-benzylN-methylenenitrone,14298,102380
1-[(p-Methylphenyl)amino]acetone Oxime,6116,7813
"1-[1-(Toluene-4-sulfonyl)-4,5-dihydro-1H-pyrrol-2-yl]but-2-en-1-one",16346,21231
1-Allyl-cyclohexanol,8341,19081
"1-Butanol, 3-methyl-, acetate",9852328,15762603
1-Cyano-2-methylbuten-3-one,42067,30909
1-Decanol,469431,83368
1-Isopropyl-2-((phenylthio)methyl)cyclopentene,8585,14160
1-mercapto-2-methoxycarbonylaminobut-3-ene,26819,4207
1-methoxypentadecan-3-one,13600,130528
"1-Methyl-2,3-dihydro-1H-pyrrolo[3,2-c]pyridine",147602,52311
1-Methyl-4-[(2-phenylpropenyl)sulfinyl]benzene,848,7049
"1-Pentanone, 1-(4-methylphenyl)-",37764,45270
1-Pentene,13685,657625
1H-Imidazol-2-amine,970361,38841
2'-Methyl-2'-propenyl 2-Propynaoate,6387,13923
"2,,5,5-Tetramethyl-3-oxacyclohexanone",77888,70314
"2,2-dimethyl-1-nitropropane ",10648,20040
"2,3-Dihydro farnesyl acetate",222039,232581
"2,4-Di-tert-butylphenol",6660767,7797875
"2,7-Octanedione",1997675,102585
"2-(3'-cyanobutyl)-1H-isoindole-1,3(2H)-dione",14527,10526
"2-ACETOXY-1-ACETYL-6-(1-ADAMANTYL)THIO-3-HYDROXY-3,5-DIMETHYL-1,2,3,6-TETRAH...",55158,47851
2-Acetyl-5-methylthiophene,179293,177728
2-Acetylthiazole,873412,738389
2-Butanone,3675270,3686959
"2-Heptanone, 4-methyl-",1292523,16951156
"2-Methoxy-6-phenyl-6,6a,7,8-tetrahydro-9aH-furo[3,2-c]quinoline isomer",7874015,12270
"2-Octanol, 2-methyl-",2301937,2240183
2-Pentadecanone,4941861,5101207
2-Propanol,141082,161117
2-Tetradecanone,488187,476773
2-Tridecanol,612443,681761
2-Tridecanone,12222121,11784335
"3,3,6-trimethyl-2-methylene-4-oxo-2,3-dihydrofuro[3,2-c]pyran",38239,46434
"3,3-(Ethylenedioxy)octanal ",22705,26143
"3,4-Dihydroxyphenylglycol, 4TMS derivative",46291,73020
"3-(2-(2-METHYL-3-ALLYL-1,1-ETHYLENEDIOXYCYCLOPENTAN-2-YL)ETHYL)-1,5-HEXADIYNE",41487,32414
3-(Hydroxymethyl)-1-phenyl-1-heptadecyn-3-ol,824387,398323
3-(Methoxymethoxy)cyclohexene ,114064,129620
"3-Acetyl-2-methyl-9b-(1-naphthyl)-3aH-benzo[e]cyclohexa[1,2-b]furan",42367,37787
"3-Acetyl-2-methyl-9b-(1-naphthyl)-3aH-benzo[e]cyclohexa[1,2-b]furan",78341,29607
"3-Acetyl-2-methyl-9b-(1-naphthyl)-3aH-benzo[e]cyclohexa[1,2-b]furan",148095,39560
"3-Acetyl-2-methyl-9b-(1-naphthyl)-3aH-benzo[e]cyclohexa[1,2-b]furan",9757,62958
"3-Decen-1-ol, acetate, (Z)-",1875786,1744773
"3-Formyl-N-methyl-9-[phenylethynyl]dibenzo[2,3-a : 5,6-a'] (1,4)-thiazine",1916905,2626284
3-Methyl-1-(2-tetrahydropyranyloxy)-2-butene,16581,16436
