Compound,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_Ara
"(1,1-Dideuteriocyclopropyl)acetaldehyde ",172773,29200
"(1S,5S)-2-oxa-6-azabicyclo[3.3.0]octan-3-one",16455,22109
"(2R,4R)-2,4-dimethylhexan-1-ol",7935,15025
"(3R*,4R*,5R*,6S*)-[(3,5-Dimethyl-4,6-bis-((tert-butyldimethylsilyl)oxy)-1-cy...",114492,49013
"(3R*,5S*,6R*)-3-Isopropyl-6-phenyl-5-(2,6-xylidino)-1,2,4-trioxane",18740,52427
"(3S,4S)-Hept-1-en-6-yne-3,4-diol",176885,181614
"(4S,6S,1E)-3-(Acetoxymethylene)-6,7-dihydroxy-7,11-dimethyldodeca-1,10-dien-...",58103,13539
"(E)-Deca-1,6-dien-3-one",737409,62551
(E)-Methacrolein oxime,200390,10719
"(S)-3,4-Dimethylpentanol",348081,191155
"1'-Deoxy-1'-(phenylsulfonyl)methylene]-2',3'-isopropylidene-.beta.-D-ribofur...",71730,177927
"1,1,1-Trifluoro-4-ethoxybut-3-en-2-one",13723,19176
"1,3-Dioxolane, 2-butyl-2-methyl-",251013,1480413
"1,4-Butanediol",177142,152791
"1,6-Anhydro-2-chloro-.beta.,D-erythro-hex-3-enpyranose",2013,2928
"1-(1,3-Dimethyl-1H-pyrazol-4-yl)ethanone",1459963,1731804
"1-(3,5-Dibromo-4-hydroxyphenyl)-3,3-dimethylbutan-2-one",64768,44488
1-(3-Methylbut-2-enyloxy)butan-2-one,13463,9534
1-(p-Methoxyphenyl)-3-phenyloxy-4-oxoazetidine-2-N-benzylN-methylenenitrone,585813,145822
"1-[1-(Toluene-4-sulfonyl)-4,5-dihydro-1H-pyrrol-2-yl]but-2-en-1-one",29623,16346
1-Allyl-cyclohexanol,21562,8341
"1-Benzyloxy-2,6-dimethyl-8-(tetrahydropyran-2-yloxy)-(2E,6E)-2-octadiene",1771,30815
1-bromo-1-chloropentane ,30037,941893
"1-Butanol, 3-methyl-, acetate",592993,9852328
1-Cyano-2-methylbuten-3-one,42117,42067
1-Decanol,2201615,582296
"1-Methyl-3-(3,4-dimethoxyphenyl)-6,7-dimethoxyisochromene",139696,175393
1-Nonanol,264581,92908
10-Methoxydec-8-yn-7-one,5485,9013
"2,2,5,5-Tetradeuteriomethoxycyclohexane",4013,15960
"2,2-dimethyl-1-nitropropane ",110688,10648
"2,4-Di-tert-butylphenol",5112389,6660767
2-(Dibromomethyl)tetrahydropyran,46419,11410
"2-(diphenylphosphinoyl)-5,5-dimethyl-1,3-dioxane",98359,29756
2-Acetyl-5-methylthiophene,163971,179293
2-Acetylthiazole,830233,873412
2-Butanone,4396690,3675270
"2-Heptanone, 4-methyl-",17236711,1292523
2-Methylpropyl-1-nitrile,26211,6365
2-Nitro-1-octanol,37459,5678
"2-Octanol, 2-methyl-",2372293,2301937
"2-Octenal, (E)-",26573,91396
2-Oxetanone,138392,290239
2-Pentadecanone,3709705,4941861
2-Pentanone,4593551,4001366
"2-Pentyne, 5-methoxy-",10806,41798
2-Propenoic acid,48964,22415
"2-Propenoic acid, 3-phenyl-, 2-methylpropyl ester",29876,40458
2-Tetradecanone,1252551,488187
2-Tridecanol,783834,612443
2-Tridecanone,9551262,12222121
"3,3,6-trimethyl-2-methylene-4-oxo-2,3-dihydrofuro[3,2-c]pyran",31397,38239
3-(Hydroxymethyl)-1-phenyl-1-heptadecyn-3-ol,2874987,824387
"3-Acetyl-2-methyl-9b-(1-naphthyl)-3aH-benzo[e]cyclohexa[1,2-b]furan",265886,278560
3-O-Ethoxymethyl-17.alpha.-carboxymethyl-17.beta.-estradiol,101855,509659
3-Tetradecanone,166862,92630
"4,4-Dideuteriomethoxycyclohexane",30273,23867
"4,4-Dimethoxybutanal",54029,150259
4-(2'-methyltetrahydrofuran-2'-yl)butanone,5742,47146
4-Fluoropyridine,9763,18655
4-Methyl-2H-pyran,111701,145488
4-Quinolinecarboxaldehyde,39198,51975
5-(2'-oxopropyl)isoxazole ,660820,10809
5-Chloro-3-(p-ethylphernyl)-2-nitrothiophene,169251,37801
5-Hexen-3-one,169262,169312
"6-Methyl-2,6-heptadienal ",90115,62397
6-n-Butyltetrahydropyran-2-one,11711,41423
7.ALPHA.-METHACRYLOYLOXY- OR -TIGLINOYLOXY-9.BETA.-METHACRYCOYLOXY-OR -TIGLI...,21074,2636
Acetic acid,3703151,3319033
"Acetic acid, nonyl ester",371860,676430
Acetone,8696808,7828332
Acetophenone,529774,614041
"anti-4-Ethoxy-4,5-dihydro-5-methoxy-5-methyl-2(3H)-furanone",64322,52517
Benzene,1157785,963500
"Benzene, 1,3-dimethyl-",81669,187581
"Benzenemethanol, .alpha.-methyl-, propanoate",181760,402155
"Benzenemethanol, 4-methyl-",1058789,1048582
Benzoic acid,559641,504722
"Benzoic acid, 3-methyl-, methyl ester",64251,69379
"Benzoic acid, methyl ester",1284570,1303911
Benzyl alcohol,3964301,4211337
Butanal,14990,17373
"Butane, 2-methoxy-2-methyl-",200598,165939
cis and trans-3-(Fluorodimethylsilyl)cyclohexyl acetate,180243,215318
"cis-2-(2,2-Dichloroethyl)-3-methyloxetane",11661,15159
cis-2-Carbomethoxy-4-[(1-chloro-1-methyl)ethyl]terahydrofuran,67674,66835
"Cycloheptasiloxane, tetradecamethyl-",1068396,840880
"Cyclohexasiloxane, dodecamethyl-",1617368,1461442
"Cyclohexasiloxane, dodecamethyl- ",4971582,5319931
"Cyclononasiloxane, octadecamethyl-",260134,166596
"Cyclooctasiloxane, hexadecamethyl-",709580,332480
Cyclopentadecanone,1869543,2375979
"Cyclopentasiloxane, decamethyl-",4828069,8166659
"Cyclotetrasiloxane, octamethyl-",12203479,2815764
"Cyclotrisiloxane, hexamethyl- ",322372,15405861
Didehydro-7-[(trimethylsilyl)oxy*]-9-ketoabietic acid - methyl ester,961627,972483
Dimethyl ether,54805472,53145174
Dodecanoic acid,419494,352466
"Dodecanoic acid, ethyl ester",603783,922487
"Ethanol, 2-(3,3-dimethylcyclohexylidene)-",147591,166642
"Ethanone, 1,1'-(1,4-phenylene)bis-",48329,46803
"Ethanone, 1-(2,3,4-trimethylphenyl)-",105839,90345
"Ethanone, 1-(2,4-dimethylphenyl)-",380034,360138
Ethyl 2-oxirane-2-acetate,82285,2726
Ethyl 9-hexadecenoate,591454,630589
Ethyl 9-tetradecenoate,1062241,985779
Ethyl Acetate,2802236,17074470
Farnesol ,147789,54087
"Formic acid, 2-methylpropyl ester",240226,176660
"Furan, tetrahydro-2,2,5,5-tetramethyl-",2498631,159166
"Heptane, 4-methyl-",552149,445074
"Hexadecanoic acid, ethyl ester",309066,325978
Hydrogen isocyanate,553409,5499390
Indole,91290735,91075230
Isophthalaldehyde,354293,306298
isopropyl(trans-2-methylcyclopentyl)isopropoxyborane,26420,41179
Lauryl acetate,586972,2812201
"Methane, isocyanato-",248294,19425
Methoxycyclopentaneacetonitrile,38939,12954
Methyl Isobutyl Ketone,1731558,1008541
"methyl tetradeca-12,13-dienoate ",53029,13559
N'-(Iodotetrafluoroethoxytetrafluoroethyl)sulfonyl-N-(diethylamino)cyclopent...,8870,9563
N-Allylacetamide,7366,6450
OCTADECAMETHYLCYCLONONASILOXANE ,274858,187479
"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",6871383,7092422
"Orthoformic acid, triisobutyl ester",5180082,4919141
p-Cresol,141129,86461
Pentanoic acid,265742,254159
Phenol,142065,134417
"Phthalic acid, butyl cyclobutyl ester",53103,58425
"Propanoic acid, 3-chloro-, 4-formylphenyl ester",15974,24435
"Propanoic acid, decyl ester",127462,87374
"Propanoic acid, ethyl ester",3897536,5038912
"Pyrazine, 2-ethyl-6-methyl-",372818,337906
Quinoline,35983,41028
"Terbutaline, N-trifluoroacetyl-O,O,o-tris(trimethylsilyl)deriv.",28427,32235
TETRACOSAMETHYLCYCLODODECASILOXANE ,537233,544282
"Tetradecanoic acid, ethyl ester",888560,1332755
Toluene,6499730,5733559
trans-1-Butyl-2-methylcyclopropane ,36970,14920
,14657,
,17785,
,31345,
,643140,
,7408,
,16177,
,2651333,
,10842,
,35829,
,79636,
,8749,
,6524,
,866,
,604968,
,50822,
,55868,
,82726,
,11672,
,4592,
,528314,
,74119,
,240025,
,1224421,
,15439,
,138094,
,40942,
,44133,
,6504,
,265191,
,10339,
,21570,
,8442,
,16494,
,4792,
,146748,
,27703,
,1920,
,23636,
,94966,
,32663,
,1185605,
,19803,
,1109,
,60155,
,11490,
,21614,
,44110,
,47440,
,78235,
,54611,
,69465,
,46208,
,63525,
,4714,
,16681,
,15003,
,9353,
,4504,
,15639,
,6808,
,227919,
,11979,
,50377,
,5135,
,49490,
,61751,
,197364,
,18827,
,12444,
,1665013,
,76526,
,4278,
,16825,
,116513,
,14543,
,26597,
,21344,
,57667,
,4424,
,7961,
,23278,
,77491,
,7144,
,147621,
,391027,
,214251,
,30347,
,2413,
,39297,
,88015,
,45888,
,151805,
,116110,
,13652,
,40308,
,36586,
,11968,
,8305,
,5081,
,39594,
,28170,
,281116,
,38783,
,66123,
,91982,
,9889,
,7737,
,434854,
,71631,
,17500,
,103593,
,18720,
,30980,
,277101,
,12994,
,4038,
,17970,
,42798,
,130882,
,49998,
,49507,
,16618,
,645354,
,21605,
,329925,
,147367,
,42923,
,178225,
,5857,
,8775,
,114972,
,191758,
,,23528
,,286091
,,28672
,,9717
,,44805
,,47945
,,61534
,,13492
,,181482
,,93718
,,2620
,,21789
,,73958
,,429464
,,5471
,,72080
,,14054
,,24637
,,44345
,,1455545
,,949186
,,27546
,,5938
,,171423
,,140741
,,22047
,,187930
,,23862
,,318853
,,36305
,,211682
,,88175
,,8139
,,64622
,,4793
,,17590
,,75572
,,17078
,,5815
,,18074
,,11538
,,69167
,,5105
,,253325
