Compound,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_Ara
"(1,1-Dideuteriocyclopropyl)acetaldehyde ",321139,57937
"(1S,5S)-2-oxa-6-azabicyclo[3.3.0]octan-3-one",30586,43867
"(2R,4R)-2,4-dimethylhexan-1-ol",14749,29812
"(3R*,4R*,5R*,6S*)-[(3,5-Dimethyl-4,6-bis-((tert-butyldimethylsilyl)oxy)-1-cy...",212810,97248
"(3R*,5S*,6R*)-3-Isopropyl-6-phenyl-5-(2,6-xylidino)-1,2,4-trioxane",34833,104022
"(3S,4S)-Hept-1-en-6-yne-3,4-diol",328783,360345
"(4S,6S,1E)-3-(Acetoxymethylene)-6,7-dihydroxy-7,11-dimethyldodeca-1,10-dien-...",107998,26863
"(E)-Deca-1,6-dien-3-one",1370649,124109
(E)-Methacrolein oxime,372472,21268
"(S)-3,4-Dimethylpentanol",646991,379276
"1'-Deoxy-1'-(phenylsulfonyl)methylene]-2',3'-isopropylidene-.beta.-D-ribofur...",133327,353030
"1,1,1-Trifluoro-4-ethoxybut-3-en-2-one",25507,38048
"1,3-Dioxolane, 2-butyl-2-methyl-",466567,2937327
"1,4-Butanediol",329260,303157
"1,6-Anhydro-2-chloro-.beta.,D-erythro-hex-3-enpyranose",3742,5810
"1-(1,3-Dimethyl-1H-pyrazol-4-yl)ethanone",2713686,3436119
"1-(3,5-Dibromo-4-hydroxyphenyl)-3,3-dimethylbutan-2-one",120387,88270
1-(3-Methylbut-2-enyloxy)butan-2-one,25024,18917
1-(p-Methoxyphenyl)-3-phenyloxy-4-oxoazetidine-2-N-benzylN-methylenenitrone,1088872,289329
"1-[1-(Toluene-4-sulfonyl)-4,5-dihydro-1H-pyrrol-2-yl]but-2-en-1-one",55061,32433
1-Allyl-cyclohexanol,40078,16550
"1-Benzyloxy-2,6-dimethyl-8-(tetrahydropyran-2-yloxy)-(2E,6E)-2-octadiene",3292,61141
1-bromo-1-chloropentane ,55831,1868835
"1-Butanol, 3-methyl-, acetate",1102217,19548270
1-Cyano-2-methylbuten-3-one,78284,83466
1-Decanol,4092221,1155349
"1-Methyl-3-(3,4-dimethoxyphenyl)-6,7-dimethoxyisochromene",259658,348002
1-Nonanol,491786,184341
10-Methoxydec-8-yn-7-one,10195,17883
"2,2,5,5-Tetradeuteriomethoxycyclohexane",7459,31667
"2,2-dimethyl-1-nitropropane ",205740,21127
"2,4-Di-tert-butylphenol",9502582,13215808
2-(Dibromomethyl)tetrahydropyran,86281,22639
"2-(diphenylphosphinoyl)-5,5-dimethyl-1,3-dioxane",182823,59040
2-Acetyl-5-methylthiophene,304779,355740
2-Acetylthiazole,1543184,1732960
2-Butanone,8172286,7292202
"2-Heptanone, 4-methyl-",32038496,2564530
2-Methylpropyl-1-nitrile,48719,12629
2-Nitro-1-octanol,69626,11266
"2-Octanol, 2-methyl-",4409467,4567335
"2-Octenal, (E)-",49392,181341
2-Oxetanone,257234,575871
2-Pentadecanone,6895362,9805280
2-Pentanone,8538199,7939218
"2-Pentyne, 5-methoxy-",20086,82933
2-Propenoic acid,91011,44474
"2-Propenoic acid, 3-phenyl-, 2-methylpropyl ester",55532,80274
2-Tetradecanone,2328162,968625
2-Tridecanol,1456941,1215165
2-Tridecanone,17753275,24250240
"3,3,6-trimethyl-2-methylene-4-oxo-2,3-dihydrofuro[3,2-c]pyran",58359,75871
3-(Hydroxymethyl)-1-phenyl-1-heptadecyn-3-ol,5343842,1635688
"3-Acetyl-2-methyl-9b-(1-naphthyl)-3aH-benzo[e]cyclohexa[1,2-b]furan",494212,552698
3-O-Ethoxymethyl-17.alpha.-carboxymethyl-17.beta.-estradiol,189322,1011228
3-Tetradecanone,310152,183790
"4,4-Dideuteriomethoxycyclohexane",56270,47355
"4,4-Dimethoxybutanal",100426,298133
4-(2'-methyltetrahydrofuran-2'-yl)butanone,10673,93544
4-Fluoropyridine,18147,37014
4-Methyl-2H-pyran,207623,288667
4-Quinolinecarboxaldehyde,72859,103125
5-(2'-oxopropyl)isoxazole ,1228290,21446
5-Chloro-3-(p-ethylphernyl)-2-nitrothiophene,314593,75002
5-Hexen-3-one,314613,335937
"6-Methyl-2,6-heptadienal ",167500,123804
6-n-Butyltetrahydropyran-2-one,21768,82188
7.ALPHA.-METHACRYLOYLOXY- OR -TIGLINOYLOXY-9.BETA.-METHACRYCOYLOXY-OR -TIGLI...,39171,5230
Acetic acid,6883180,6585383
"Acetic acid, nonyl ester",691190,1342123
Acetone,16165071,15532405
Acetophenone,984710,1218335
"anti-4-Ethoxy-4,5-dihydro-5-methoxy-5-methyl-2(3H)-furanone",119558,104200
Benzene,2152017,1911706
"Benzene, 1,3-dimethyl-",151801,372185
"Benzenemethanol, .alpha.-methyl-, propanoate",337844,797927
"Benzenemethanol, 4-methyl-",1968009,2080520
Benzoic acid,1040225,1001433
"Benzoic acid, 3-methyl-, methyl ester",119426,137657
"Benzoic acid, methyl ester",2387677,2587125
Benzyl alcohol,7368589,8355827
Butanal,27862,34470
"Butane, 2-methoxy-2-methyl-",372859,329244
cis and trans-3-(Fluorodimethylsilyl)cyclohexyl acetate,335024,427218
"cis-2-(2,2-Dichloroethyl)-3-methyloxetane",21675,30077
cis-2-Carbomethoxy-4-[(1-chloro-1-methyl)ethyl]terahydrofuran,125788,132609
"Cycloheptasiloxane, tetradecamethyl-",1985866,1668413
"Cyclohexasiloxane, dodecamethyl-",3006260,2899687
"Cyclohexasiloxane, dodecamethyl- ",9240859,10555419
"Cyclononasiloxane, octadecamethyl-",483520,330548
"Cyclooctasiloxane, hexadecamethyl-",1318922,659683
Cyclopentadecanone,3474987,4714244
"Cyclopentasiloxane, decamethyl-",8974106,16203688
"Cyclotetrasiloxane, octamethyl-",22683046,5586833
"Cyclotrisiloxane, hexamethyl- ",599204,30567185
Didehydro-7-[(trimethylsilyl)oxy*]-9-ketoabietic acid - methyl ester,1787411,1929530
Dimethyl ether,101868907,105446774
Dodecanoic acid,779729,699337
