Compound,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_Ara_iAAL
"(1,1-Dideuteriocyclopropyl)acetaldehyde ",172773,64798
"(1R,2S)-1,2-Dimethoxy-1,2-diphenylethane",599692,207114
"(3R*,4R*,5R*,6S*)-[(3,5-Dimethyl-4,6-bis-((tert-butyldimethylsilyl)oxy)-1-cy...",26867,52188
"(3R*,4R*,5R*,6S*)-[(3,5-Dimethyl-4,6-bis-((tert-butyldimethylsilyl)oxy)-1-cy...",30326,
"(3R*,4R*,5R*,6S*)-[(3,5-Dimethyl-4,6-bis-((tert-butyldimethylsilyl)oxy)-1-cy...",6686,
"(3R*,4R*,5R*,6S*)-[(3,5-Dimethyl-4,6-bis-((tert-butyldimethylsilyl)oxy)-1-cy...",50613,
"(4S,6S,1E)-3-(Acetoxymethylene)-6,7-dihydroxy-7,11-dimethyldodeca-1,10-dien-...",58103,9593
(E)-1-(Hex-2-enyloxy)butan-2-one,30760,85987
(E)-1-(Hex-2-enyloxy)butan-2-one,,13406
(E)-1-(Hex-2-enyloxy)butan-2-one,,33558
"(E)-Deca-1,6-dien-3-one",35569,25959
"(E)-Deca-1,6-dien-3-one",647536,
"(E)-Deca-1,6-dien-3-one",32182,
"(E)-Deca-1,6-dien-3-one",15345,
"(E)-Deca-1,6-dien-3-one",6777,
(tert-Butylsulfonyl)benzene,8974,35008
"1'-Deoxy-1'-(phenylsulfonyl)methylene]-2',3'-isopropylidene-.beta.-D-ribofur...",18509,55617
"1'-Deoxy-1'-(phenylsulfonyl)methylene]-2',3'-isopropylidene-.beta.-D-ribofur...",53221,56130
"1'-Deoxy-1'-(phenylsulfonyl)methylene]-2',3'-isopropylidene-.beta.-D-ribofur...",,22029
"1,3-Benzodioxole",736937,955138
"1,3-Dimethyl-3-(2-propyl)azetidine-2,4-dione",33718,26201
"1,3-Dimethyl-3-(2-propyl)azetidine-2,4-dione",73122,
"1,3-Dioxolane, 2-hexyl-",173596,137012
"1-(3,5-Dibromo-4-hydroxyphenyl)-3,3-dimethylbutan-2-one",64768,27270
1-(3-Methylbut-2-enyloxy)butan-2-one,13463,33093
1-(3-Methylbut-2-enyloxy)butan-2-one,,51389
1-(p-Methoxyphenyl)-3-phenyloxy-4-oxoazetidine-2-N-benzylN-methylenenitrone,509041,115762
1-(p-Methoxyphenyl)-3-phenyloxy-4-oxoazetidine-2-N-benzylN-methylenenitrone,42154,34017
1-(p-Methoxyphenyl)-3-phenyloxy-4-oxoazetidine-2-N-benzylN-methylenenitrone,34618,37229
1-(p-Methoxyphenyl)-3-phenyloxy-4-oxoazetidine-2-N-benzylN-methylenenitrone,,102380
1-(p-Methoxyphenyl)-3-phenyloxy-4-oxoazetidine-2-N-benzylN-methylenenitrone,,159214
1-(p-Methoxyphenyl)-3-phenyloxy-4-oxoazetidine-2-N-benzylN-methylenenitrone,,24561
1-(Phenylsulphinylmethyl)cyclododecene,20836,12865
"1-[1-(Toluene-4-sulfonyl)-4,5-dihydro-1H-pyrrol-2-yl]but-2-en-1-one",29623,21231
1-Allyl-cyclohexanol,21562,19081
"1-Butanol, 3-methyl-",9099000,9296760
"1-Butanol, 3-methyl-, acetate",592993,15762603
1-Cyano-2-methylbuten-3-one,42117,30909
1-Decanol,2201615,83368
1-Methoxycarbonyl-2-methylimidazole,74529,91219
1-Methoxycarbonyl-2-methylimidazole,15382,
"2,2-dimethyl-1-nitropropane ",98815,20040
"2,2-dimethyl-1-nitropropane ",11873,
"2,3,5,7,15-Pentaacetoxy-8-(tigloyloxy)-9,14-dioxo-Jatropha-6(17),11(E)-diene",4108,24462
"2,3-Pentanedione",49111,93910
"2,3-Pentanedione",251396,
"2,4-Di-tert-butylphenol",5112389,7797875
"2,5-Dihydroxybenzaldehyde, 2TMS derivative",7269865,8082150
"2,5-Dimethylhexane-2,5-dihydroperoxide",4217153,6238839
"2,6-Dimethylhepta-1,5-diene-5,5-dicarbonitrile",48161,41565
2-Acetoxy-tetrahydrofuran,63854,71754
2-Acetyl-5-methylthiophene,163971,177728
2-Acetyl-5-methylthiophene,,170942
2-Acetylthiazole,830233,738389
2-amino-3-furfuryloxybenzoic acid,37479,18800
2-Butanone,4396690,3686959
2-Dimethylamino-3-cyano-5-methylhex-4-en-1-nitrile,48302,99484
2-Dodecanone,508484,202374
2-Heptanone,933651,73289
"2-Heptanone, 4-methyl-",17236711,16951156
2-Nonanone,1845893,2046052
2-O-methylbaeomycesic acid,15856609,25799
"2-Octanol, 2-methyl-",2372293,2240183
2-Pentadecanone,3709705,5101207
"2-Propanol, 1,1'-oxybis-",231486,101523
"2-Propanol, 2-methyl-",578391,541113
2-Propenal,130583,121610
2-Propenal,128806,
"2-Propenoic acid, 2-methyl-, methyl ester",6235,63678
2-Tetradecanone,1252551,476773
2-Tridecanol,783834,681761
2-Tridecanol,,553527
2-Tridecanone,9551262,11784335
2-Undecanone,3564840,4765598
"3,3,6-trimethyl-2-methylene-4-oxo-2,3-dihydrofuro[3,2-c]pyran",31397,46434
"3,5-Bis(trifluoromethyl)phenyl 1-phenylpropyl Sulfone",24801,19450
"3,5-Diamino-1,2,4-triazole",125442,122921
3-(Hydroxymethyl)-1-phenyl-1-heptadecyn-3-ol,1734170,398323
3-(Hydroxymethyl)-1-phenyl-1-heptadecyn-3-ol,827360,
3-(Hydroxymethyl)-1-phenyl-1-heptadecyn-3-ol,313457,
"3-Acetyl-2-methyl-9b-(1-naphthyl)-3aH-benzo[e]cyclohexa[1,2-b]furan",57282,37787
"3-Acetyl-2-methyl-9b-(1-naphthyl)-3aH-benzo[e]cyclohexa[1,2-b]furan",60991,29607
"3-Acetyl-2-methyl-9b-(1-naphthyl)-3aH-benzo[e]cyclohexa[1,2-b]furan",118770,39560
"3-Acetyl-2-methyl-9b-(1-naphthyl)-3aH-benzo[e]cyclohexa[1,2-b]furan",28843,62958
"3-Acetyl-2-methyl-9b-(1-naphthyl)-3aH-benzo[e]cyclohexa[1,2-b]furan",,146097
"3-Acetyl-2-methyl-9b-(1-naphthyl)-3aH-benzo[e]cyclohexa[1,2-b]furan",,74098
3-Quinolinecarbonitrile,224548,207243
"4,4-Dideuteriomethoxycyclohexane",30273,129818
4-(2-Naphthyl)-5-phenyl-4H-dibenzophosphole oxide,17660,13211
4-(2-Naphthyl)-5-phenyl-4H-dibenzophosphole oxide,268741,266039
4-amino-2-methylbutanoic acid ,4557,4708
4-Azido-3-bromobenzene,23368,21307
"4-Ethylene Ketal of t-5,c-10-Dimethyl-r-1H-bicyclo[5.3.0]dec-6-ene-4,8-dione",56694,7024
4-Methoxy-1-nonene ,10959,9356
4-Methyl-2H-pyran,111701,148294
4-Quinolinecarboxaldehyde,39198,78042
"5,6-Dihydrobenzo[c]phenanthridin-6-one",58253,64719
5-(1-Methyl-1-methoxyethoxy)-1-tetrahydropyranyloxypentene,105468,15118
5-(1-Methyl-1-methoxyethoxy)-1-tetrahydropyranyloxypentene,13024,
5-(2'-oxopropyl)isoxazole ,282645,120697
5-(2'-oxopropyl)isoxazole ,378175,334763
"5-Amino-1-methyl-1H-pyrazole-4-carboxamide, 3TMS",1882457,2122392
"5-Amino-1-methyl-1H-pyrazole-4-carboxamide, 3TMS",2493419,592342
"5-hydroxy-1,2-pentadiene",10983,8371
"5-hydroxy-1,2-pentadiene",,59067
5-{Ethoxycarbonyl}-N(1)-[3'-(N,18403,45182
5-{Ethoxycarbonyl}-N(1)-[3'-(N,83530,
7.ALPHA.-METHACRYLOYLOXY- OR -TIGLINOYLOXY-9.BETA.-METHACRYCOYLOXY-OR -TIGLI...,21074,54184
[5-methyl-3-(3-butenyl)]isoxazole ,73030,1046362
[5-methyl-3-(3-butenyl)]isoxazole ,,165308
[5-methyl-3-(3-butenyl)]isoxazole ,,105962
Acetic acid,3703151,5218826
"Acetic acid, nonyl ester",371860,550881
"Acetic acid, nonyl ester",,77196
Acetone,8696808,7258207
Acetone,,912051
Acetone,,906684
"Benzenemethanol, .alpha.-methyl-, propanoate",181760,455849
Benzoic acid,559641,498811
"Benzoic acid, 3-methyl-, methyl ester",64251,82881
"Benzoic acid, methyl ester",1284570,1510219
Benzyl alcohol,3964301,3640221
"Butane, 2-methoxy-2-methyl-",200598,168580
"Butanoic acid, 2-methylcyclohexyl ester, cis-",92951,93970
"Butanoic acid, 3-methyl-",250497,165083
Chromafenozide,4202080,3305577
cis-2-Carbomethoxy-4-[(1-chloro-1-methyl)ethyl]terahydrofuran,67674,37380
"Cycloheptasiloxane, tetradecamethyl-",1068396,2000187
"Cyclohexasiloxane, dodecamethyl- ",4971582,1682519
"Cyclohexasiloxane, dodecamethyl- ",,5100401
"Cyclohexene, 1-methoxy-",39497,44967
"Cyclononasiloxane, octadecamethyl-",260134,378275
"Cyclooctasiloxane, hexadecamethyl-",416407,425751
"Cyclooctasiloxane, hexadecamethyl-",293173,
"Cyclooctasiloxane, hexadecamethyl- ",287504,321139
Cyclopentadecanone,1869543,2437007
"Cyclopentanone, 2,4,4-trimethyl-",1272444,1013556
"Cyclopentasiloxane, decamethyl-",4828069,2749092
"Cyclopentasiloxane, decamethyl-",,4711255
"Cyclotetrasiloxane, octamethyl-",9178407,9388167
"Cyclotetrasiloxane, octamethyl-",456751,4069218
"Cyclotetrasiloxane, octamethyl-",2568321,2359653
"Cyclotrisiloxane, hexamethyl-",325105,17933463
"Cyclotrisiloxane, hexamethyl-",,298263
Didehydro-7-[(trimethylsilyl)oxy*]-9-ketoabietic acid - methyl ester,485785,454533
Didehydro-7-[(trimethylsilyl)oxy*]-9-ketoabietic acid - methyl ester,475842,477785
"diethyl 2,6-dimethyl-4-(3-pyridazinyl)-1,4-dihydropyridine-3,5-dicarboxylate",17836,23212
Dimethyl ether,54805472,53686574
"Disulfide, dihexyl",85100,220894
"Disulfide, dimethyl",8622641,9011269
Dodecanoic acid,419494,62633
"Dodecanoic acid, ethyl ester",603783,947306
"Ethanone, 1,1'-(1,4-phenylene)bis-",48329,45300
"Ethanone, 1-(2,3,4-trimethylphenyl)-",105839,124204
"Ethanone, 1-(2,4-dimethylphenyl)-",380034,334006
"Ethyl (2'-nitro-3'-oxo-6',7'-dihydro-3H,5H-benzo[ij]quinolizin-1'-yl)-cyanoa...",31125,434511
Ethyl 9-hexadecenoate,591454,684634
Ethyl 9-tetradecenoate,1062241,997916
Ethyl Acetate,2802236,17329199
Ethyl Acetate,,17861120
Farnesol ,147789,41841
Formic acid,296540,238661
"Hexadecanoic acid, ethyl ester",309066,331071
"Hexanoic acid, 5-oxo-, methyl ester",129673,51311
Indole,91290735,95764916
Isophthalaldehyde,116431,295289
Isophthalaldehyde,237862,
Lauryl acetate,586972,2605343
"Methane, dimethoxy-",52937,46979
Methyl 3-hydroxy-2-(p-toluenesulfonyloxy)methyl-10-tetrahydropyranyloxydecan...,19433,9454
"Methyl 5-[3,3-bis(trimethylsilyl)oxiran-2-yl]pentanoate",12591,16436
"Methyl 5-[3,3-bis(trimethylsilyl)oxiran-2-yl]pentanoate",7948,
Methyl Isobutyl Ketone,1219293,1027198
Methyl Isobutyl Ketone,512265,
Methylene chloride,176035,135408
OCTADECAMETHYLCYCLONONASILOXANE ,170547,201659
OCTADECAMETHYLCYCLONONASILOXANE ,45581,176830
OCTADECAMETHYLCYCLONONASILOXANE ,58730,64657
"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",3770335,3926400
"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",2050392,2092249
"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",1050656,1114745
p-Cresol,141129,93508
"PENTAN-1,3-DIOLDIISOBUTYRATE, 2,2,4-TRIMETHYL- ",133281,362852
"Pentane, 1-propoxy-",122649,197013
"Pentane, 3,3-dimethyl-",116903,1652940
Phenol,142065,127876
"Propanoic acid, 2-methylpropyl ester",87239,83207
"Propanoic acid, decyl ester",127462,76314
"Propanoic acid, ethyl ester",3897536,5405798
rac-(+-)-2-(tert-Butylsulfonyl)pentyl acetate,314429,18453
t-Butyl 2-methylsuccinate,98419,79778
"Terbutaline, N-trifluoroacetyl-O,O,o-tris(trimethylsilyl)deriv.",28427,25657
"Tetradecanoic acid, ethyl ester",888560,1011669
Toluene,6497146,5219280
Toluene,2584,
0,15352,
0,22200,
0,23296,
0,40539,
0,36707,
0,40493,
0,58546,
0,25653,
0,33955,
0,32648,
0,16455,
0,287104,
0,35996,
0,39327,
0,51082,
0,23308,
0,7935,
0,87827,
0,18925,
0,6650,
0,31119,
0,7687,
0,18740,
0,49947,
0,176885,
0,9370,
0,5311,
0,15894,
0,30269,
0,34570,
0,94421,
0,38486,
0,20950,
0,38021,
0,8951,
0,76000,
0,16677,
0,38264,
0,217133,
0,22663,
0,200390,
0,84639,
0,7654,
0,554746,
0,13171,
0,10689,
0,662822,
0,176544,
0,19401,
0,68214,
0,94845,
0,348081,
0,31480,
0,50403,
0,559,
0,50897,
0,7612,
0,30928,
0,9761,
0,22658,
0,364792,
0,37402,
0,40332,
0,26504,
0,19884,
0,13723,
0,19883,
0,65887,
0,198804,
0,404065,
0,36161,
0,506231,
0,9504,
0,11222,
0,31739,
0,27081,
0,205212,
0,130248,
0,28278,
0,205820,
0,78995,
0,251013,
0,847613,
0,90966,
0,177142,
0,14797,
0,46436,
0,232618,
0,2013,
0,135628,
0,70538,
0,1459963,
0,16232,
0,841614,
0,5182,
0,1858955,
0,65434,
0,15410,
0,307339,
0,23144,
0,14103,
0,8266,
0,7916,
0,1771,
0,19354,
0,30037,
0,216912,
0,135960,
0,9497,
0,15416,
0,19282,
0,125691,
0,65967,
0,11714,
0,11942,
0,12184,
0,28759,
0,155873,
0,68010,
0,12233,
0,8245,
0,20499,
0,139696,
0,23518,
0,264581,
0,9933,
0,15565,
0,7595,
0,1356906,
0,95156,
0,217964,
0,318554,
0,615729,
