Name,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_Ara_iAAl,,,,,,,
"(1,1-Dideuteriocyclopropyl)acetaldehyde ",321139,105021,,,,,,,
"(1R,2S)-1,2-Dimethoxy-1,2-diphenylethane",1114669,335679,,,,,,,
"(3R*,4R*,5R*,6S*)-[(3,5-Dimethyl-4,6-bis-((tert-butyldimethylsilyl)oxy)-1-cy...",49939,84583,,,,,,,
"(4S,6S,1E)-3-(Acetoxymethylene)-6,7-dihydroxy-7,11-dimethyldodeca-1,10-dien-...",107998,15548,,,,,,,
(E)-1-(Hex-2-enyloxy)butan-2-one,57175,139363,,,,,,,
"(E)-Deca-1,6-dien-3-one",66113,42073,,,,,,,
(tert-Butylsulfonyl)benzene,16680,56739,,,,,,,
[5-methyl-3-(3-butenyl)]isoxazole ,135743,1695887,,,,,,,
"1-(3,5-Dibromo-4-hydroxyphenyl)-3,3-dimethylbutan-2-one",120387,44198,,,,,,,
1-(3-Methylbut-2-enyloxy)butan-2-one,25024,53635,,,,,,,
1-(Phenylsulphinylmethyl)cyclododecene,38729,20851,,,,,,,
1-(p-Methoxyphenyl)-3-phenyloxy-4-oxoazetidine-2-N-benzylN-methylenenitrone,946173,187621,,,,,,,
"1,3-Benzodioxole",1369771,1548036,,,,,,,
"1,3-Dimethyl-3-(2-propyl)azetidine-2,4-dione",62673,42465,,,,,,,
"1,3-Dioxolane, 2-hexyl-",322669,222062,,,,,,,
"1-[1-(Toluene-4-sulfonyl)-4,5-dihydro-1H-pyrrol-2-yl]but-2-en-1-one",55061,34410,,,,,,,
1-Allyl-cyclohexanol,40078,30925,,,,,,,
"1-Butanol, 3-methyl-",16912639,15067682,,,,,,,
"1-Butanol, 3-methyl-, acetate",1102217,25547169,,,,,,,
1-Cyano-2-methylbuten-3-one,78284,50096,,,,,,,
1-Decanol,4092221,135118,,,,,,,
"1'-Deoxy-1'-(phenylsulfonyl)methylene]-2',3'-isopropylidene-.beta.-D-ribofur...",34403,90141,,,,,,,
1-Methoxycarbonyl-2-methylimidazole,138530,147843,,,,,,,
"2,2-dimethyl-1-nitropropane ",183671,32480,,,,,,,
"2,3,5,7,15-Pentaacetoxy-8-(tigloyloxy)-9,14-dioxo-Jatropha-6(17),11(E)-diene",7636,39647,,,,,,,
"2,3-Pentanedione",91284,152204,,,,,,,
"2,4-Di-tert-butylphenol",9502582,12638371,,,,,,,
"2,5-Dihydroxybenzaldehyde, 2TMS derivative",13512760,13099109,,,,,,,
"2,5-Dimethylhexane-2,5-dihydroperoxide",7838574,10111571,,,,,,,
"2,6-Dimethylhepta-1,5-diene-5,5-dicarbonitrile",89519,67366,,,,,,,
2-Acetoxy-tetrahydrofuran,118688,116295,,,,,,,
2-Acetyl-5-methylthiophene,304779,288052,,,,,,,
2-Acetylthiazole,1543184,1196741,,,,,,,
2-amino-3-furfuryloxybenzoic acid,69664,30470,,,,,,,
2-Butanone,8172286,5975622,,,,,,,
2-Dimethylamino-3-cyano-5-methylhex-4-en-1-nitrile,89781,161238,,,,,,,
2-Dodecanone,945138,327997,,,,,,,
2-Heptanone,1735411,118783,,,,,,,
"2-Heptanone, 4-methyl-",32038496,27473511,,,,,,,
2-Nonanone,3431028,3316130,,,,,,,
"2-Octanol, 2-methyl-",4409467,3630767,,,,,,,
2-O-methylbaeomycesic acid,29473251,41814,,,,,,,
2-Pentadecanone,6895362,8267759,,,,,,,
