Name,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_iAAL
"(3R*,4R*,5R*,6S*)-[(3,5-Dimethyl-4,6-bis-((tert-butyldimethylsilyl)oxy)-1-cy...",26867,11232
(E)-2-(But-2-enyloxy)butan-2-one,76000,59741
"(E)-Deca-1,6-dien-3-one",35569,18688
"(S)-3,9-dimethyl 6-(1-methylethyl) (E)-5,8-decadien 1-ol",31480,37847
(Z)-3-Methoxy-1-(4-chlorophenyl)-1-(methylseleno)propene,9761,6213
.gamma.-1-Acetoxyethyl-1-methyl-c-2-isopropenylcyclobutane,19884,21920
0,14657,68141
"1'-Deoxy-1'-(phenylsulfonyl)methylene]-2',3'-isopropylidene-.beta.-D-ribofur...",18509,70920
"1,1,1-Trifluoro-4-ethoxybut-3-en-2-one",13723,14105
"1,2-Benzenediol, o-(4-methoxybezoyl)-o'-(5-chlorovaleryl)-",36161,459081
"1,5-Heptadiene-3,4-diol, 2-methyl-",232618,146216
"1-(3,5-Dibromo-4-hydroxyphenyl)-3,3-dimethylbutan-2-one",64768,7633
1-(3-Methylbut-2-enyloxy)butan-2-one,13463,49063
1-(p-Methoxyphenyl)-3-phenyloxy-4-oxoazetidine-2-N-benzylN-methylenenitrone,509041,45612
1-(Phenylsulphinylmethyl)cyclododecene,20836,10364
1-Allyl-cyclohexanol,21562,13547
"1-Butanol, 3-methyl-",9099000,7646242
1-Cyano-2-methylbuten-3-one,42117,37852
1-Decanol,2201615,1672708
"1-Methyl-3-(3,4-dimethoxyphenyl)-6,7-dimethoxyisochromene",139696,135713
1-Nonanol,264581,184160
1-Octanol,1356906,1383608
1H-Pyrrole-2-carboxaldehyde,37723,37741
"2,2-Dimethyl-3-(2-methyl-1-propyl)cyclobutanone",95900,229477
"2,3-Pentanedione",49111,58693
"2,4-Di-tert-butylphenol",5112389,7016737
"2,5-Dihydroxybenzaldehyde, 2TMS derivative",7269865,7034043
"2,6,10-Dodecatrien-1-ol, 3,7,11-trimethyl-",505943,579505
"2,6-dihydrobenzoic acid 3TMS",20730,753917
"2,7-exo-4,11,6-Dioxazatricyclo[6.2.1.0(2,7)]undec-9-ene-3,5-dione",10833,25429
