Name,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_iAAl
"(3R*,4R*,5R*,6S*)-[(3,5-Dimethyl-4,6-bis-((tert-butyldimethylsilyl)oxy)-1-cy...",49938.66171,20916.20112
(E)-2-(But-2-enyloxy)butan-2-one,141263.9405,111249.5345
"(E)-Deca-1,6-dien-3-one",66113.3829,34800.74488
"(S)-3,9-dimethyl 6-(1-methylethyl) (E)-5,8-decadien 1-ol",58513.01115,70478.58473
(Z)-3-Methoxy-1-(4-chlorophenyl)-1-(methylseleno)propene,18143.12268,11569.8324
.gamma.-1-Acetoxyethyl-1-methyl-c-2-isopropenylcyclobutane,36959.10781,40819.36685
"[1R*,5S*]-1-(Phenylsulfonyl)-2-oxo-3-oxabicyclo[3.1.0]hexane",1996.282528,18834.26443
"1-(3,5-Dibromo-4-hydroxyphenyl)-3,3-dimethylbutan-2-one",120386.6171,14214.1527
1-(3-Methylbut-2-enyloxy)butan-2-one,25024.16357,91364.99069
1-(Phenylsulphinylmethyl)cyclododecene,38728.62454,19299.81378
1-(p-Methoxyphenyl)-3-phenyloxy-4-oxoazetidine-2-N-benzylN-methylenenitrone,946172.8625,84938.54749
"1,1,1-Trifluoro-4-ethoxybut-3-en-2-one",25507.43494,26266.29423
"1,2-Benzenediol, o-(4-methoxybezoyl)-o'-(5-chlorovaleryl)-",67213.75465,854899.4413
"1,5-Heptadiene-3,4-diol, 2-methyl-",432375.4647,272283.054
1-Allyl-cyclohexanol,40078.06691,25227.18808
"1-Butanol, 3-methyl-",16912639.41,14238811.92
1-Cyano-2-methylbuten-3-one,78284.38662,70487.89572
1-Decanol,4092221.19,3114912.477
"1'-Deoxy-1'-(phenylsulfonyl)methylene]-2',3'-isopropylidene-.beta.-D-ribofur...",34403.34572,132067.0391
1H-Pyrrole-2-carboxaldehyde,70117.10037,70281.19181
"1-Methyl-3-(3,4-dimethoxyphenyl)-6,7-dimethoxyisochromene",259657.9926,252724.3948
1-Nonanol,491786.2454,342942.2719
1-Octanol,2522130.112,2576551.21
"2,2-Dimethyl-3-(2-methyl-1-propyl)cyclobutanone",178252.7881,427331.4711
"2,3-Pentanedione",91284.38662,109297.9516
"2,4-Di-tert-butylphenol",9502581.784,13066549.35
"2,5-Dihydroxybenzaldehyde, 2TMS derivative",13512760.22,13098776.54
"2,6,10-Dodecatrien-1-ol, 3,7,11-trimethyl-",940414.4981,1079152.7
"2,6-DIHYDROXYBENZOIC ACID 3TMS",38531.59851,1403942.272
"2,7-exo-4,11,6-Dioxazatricyclo[6.2.1.0(2,7)]undec-9-ene-3,5-dione",20135.68773,47353.8175
2-13C-Methoxycyclohexane,72979.5539,13810.05587
2-Acetylthiazole,1543184.015,1516234.637
2-Butanone,8172286.245,6507696.462
"2-Heptanone, 4-methyl-",32038496.28,27019350.09
"2-Methyl-1,4-butanediol",443890.3346,67743.01676
2-Methyl-7-nitrobenzo[b]furan,18732.34201,29195.53073
2-Nitro-1-octanol,69626.39405,31672.25326
"2-Octanol, 2-methyl-",4409466.543,3851150.838
2-Pentadecanone,6895362.454,8145081.937
2-Propenoic acid,83946.09665,38454.37616
"2-Propenoic acid, 3-phenyl-, 2-methylpropyl ester",55531.59851,149521.4153
"2-Propenoic acid, methyl ester",36232.34201,29830.54004
2-Tetradecanone,2328161.71,2748078.212
2-Tridecanol,1456940.52,1183046.555
2-Tridecanone,17753275.09,18526383.61
2-Undecanone,6626096.654,6991527.002
3-(Hydroxymethyl)-1-phenyl-1-heptadecyn-3-ol,3223364.312,1478990.689
"3,3,6-trimethyl-2-methylene-4-oxo-2,3-dihydrofuro[3,2-c]pyran",58358.73606,58733.70577
"3,3-dimethyl-2-phenylbutyl phenyl sulfone",20890.33457,27837.98883
"3-Acetyl-2-methyl-9b-(1-naphthyl)-3aH-benzo[e]cyclohexa[1,2-b]furan",106472.119,100635.0093
3-Hexadecanone,371789.9628,466599.6276
3-O-Ethoxymethyl-17.alpha.-carboxymethyl-17.beta.-estradiol,189321.5613,778627.5605
3-Pentadecanone,125719.3309,158847.2998
3-Tetradecanone,310152.4164,281774.6741
4-(2-Naphthyl)-5-phenyl-4H-dibenzophosphole oxide,32825.27881,106022.3464
"4,4-Dideuteriomethoxycyclohexane",56269.51673,27091.24767
"4,5,6,8-PTetramethoxy-2,3-dihydroindeno[1,2,3-ij]isoquinolin-9-ol",4014830.855,901983.2402
4-Methyl-3-propylpyrrolidin-2-one,44178.43866,5135.94041
5-(2'-oxopropyl)isoxazole ,525362.4535,45770.94972
5-{Ethoxycarbonyl}-N(1)-[3'-(N,34206.3197,501586.5922
"5-Amino-1-methyl-1H-pyrazole-4-carboxamide, 3TMS",3498990.706,3492610.801
5-Chloro-3-(p-ethylphernyl)-2-nitrothiophene,222776.9517,63586.59218
Acetone,16165070.63,12291744.88
Acetophenone,984710.0372,1258681.564
anti-3-Methyl-5-methylenenon-2-en-4-ol,66637.54647,64005.58659
"Benzenemethanol, .alpha.-methyl-, propanoate",337843.8662,356707.635
Benzoic acid,1040224.907,988284.9162
"Benzoic acid, 3-methyl-, methyl ester",119425.6506,145903.1657
Benzyl alcohol,7368589.219,8439949.721
cis and trans-3-(Fluorodimethylsilyl)cyclohexyl acetate,335024.1636,683635.0093
"cis-2-(2,2-Dichloroethyl)-3-methyloxetane",21674.72119,23581.00559
Cyclododecane,4279810.409,2878823.091
"Cyclohexasiloxane, dodecamethyl-",3006260.223,2030338.92
"Cyclohexasiloxane, dodecamethyl- ",9240858.736,9360638.734
"Cyclooctasiloxane, hexadecamethyl-",773990.7063,485353.8175
Cyclopentadecanone,3474986.989,3881364.991
"Cyclopentasiloxane, decamethyl-",8974105.948,8744692.737
"Cyclotetrasiloxane, octamethyl-",17060236.06,13129882.68
Decanoic acid,418529.7398,66338.91993
dichloromethyl propyl sulfone,68109.66543,34191.80633
Didehydro-7-[(trimethylsilyl)oxy*]-9-ketoabietic acid - methyl ester,902946.0967,847810.0559
Dimethyl ether,101868907.1,97478230.91
Dodecanoic acid,779728.6245,208547.486
"Dodecanoic acid, ethyl ester",1122273.234,1137400.372
"Ethanone, 1-(2,4-dimethylphenyl)-",706382.8996,717776.5363
"Ethanone, 1,1'-(1,4-phenylene)bis-",89830.85502,94251.39665
"Ethyl (2'-nitro-3'-oxo-6',7'-dihydro-3H,5H-benzo[ij]quinolizin-1'-yl)-cyanoa...",57853.15985,519554.9348
Ethyl 9-hexadecenoate,1099356.877,1181986.965
Ethyl Acetate,5208617.1,2764340.782
Formic acid,551189.5911,393601.4898
"Hexadecanoic acid, ethyl ester",574472.119,696474.8603
Hydrogen isocyanate,1028641.264,567337.0577
Indole,169685381,180666178.8
Isophthalaldehyde,216414.4981,203897.5791
isopropyl(trans-2-methylcyclopentyl)isopropoxyborane,49107.80669,55934.82309
Lauryl acetate,1091026.022,884508.3799
"Methyl 5-[3,3-bis(trimethylsilyl)oxiran-2-yl]pentanoate",23403.34572,16834.26443
Methyl trifluoroacetate,526217.4721,53824.95345
Methylenecyclopropanecarboxylic acid,269388.4758,334817.5047
n-Decanoic acid,3814641.264,3379668.529
OCTADECAMETHYLCYCLONONASILOXANE ,317001.8587,389459.9628
"Octasiloxane, 1,1,3,3,5,5,7,7,9,9,11,11,13,13,15,15-hexadecamethyl-",7008057.621,7344216.015
"Orthoformic acid, triisobutyl ester",9628405.204,7977921.788
p-Cresol,262321.5613,335845.4376
"PENTAN-1,3-DIOLDIISOBUTYRATE, 2,2,4-TRIMETHYL- ",247734.2007,537206.7039
"Pentane, 2,2,4-trimethyl-",55431.22677,46426.4432
Phenol,264061.3383,259823.0912
Phenylethyl Alcohol,434540.8922,203396.648
"Propanoic acid, 3-chloro-, 4-formylphenyl ester",29691.44981,35350.09311
"Propanoic acid, decyl ester",236918.2156,172225.3259
