Name,EPI300_pCC1_ATF1_noAra,EPI300_pCC1_ATF1_iAAL
"(3R*,4R*,5R*,6S*)-[(3,5-Dimethyl-4,6-bis-((tert-butyldimethylsilyl)oxy)-1-cy...",49939,20916
(E)-2-(But-2-enyloxy)butan-2-one,141264,111250
"(E)-Deca-1,6-dien-3-one",66113,34801
"(S)-3,9-dimethyl 6-(1-methylethyl) (E)-5,8-decadien 1-ol",58513,70479
(Z)-3-Methoxy-1-(4-chlorophenyl)-1-(methylseleno)propene,18143,11570
.gamma.-1-Acetoxyethyl-1-methyl-c-2-isopropenylcyclobutane,36959,40819
"1'-Deoxy-1'-(phenylsulfonyl)methylene]-2',3'-isopropylidene-.beta.-D-ribofur...",34403,132067
"1,1,1-Trifluoro-4-ethoxybut-3-en-2-one",25507,26266
"1,2-Benzenediol, o-(4-methoxybezoyl)-o'-(5-chlorovaleryl)-",67214,854899
"1,5-Heptadiene-3,4-diol, 2-methyl-",432375,272283
"1-(3,5-Dibromo-4-hydroxyphenyl)-3,3-dimethylbutan-2-one",120387,14214
1-(3-Methylbut-2-enyloxy)butan-2-one,25024,91365
1-(p-Methoxyphenyl)-3-phenyloxy-4-oxoazetidine-2-N-benzylN-methylenenitrone,946173,84939
1-(Phenylsulphinylmethyl)cyclododecene,38729,19300
1-Allyl-cyclohexanol,40078,25227
"1-Butanol, 3-methyl-",16912639,14238812
1-Cyano-2-methylbuten-3-one,78284,70488
1-Decanol,4092221,3114912
"1-Methyl-3-(3,4-dimethoxyphenyl)-6,7-dimethoxyisochromene",259658,252724
1-Nonanol,491786,342942
1-Octanol,2522130,2576551
1H-Pyrrole-2-carboxaldehyde,70117,70281
"2,2-Dimethyl-3-(2-methyl-1-propyl)cyclobutanone",178253,427331
"2,3-Pentanedione",91284,109298
"2,4-Di-tert-butylphenol",9502582,13066549
"2,5-Dihydroxybenzaldehyde, 2TMS derivative",13512760,13098777
"2,6,10-Dodecatrien-1-ol, 3,7,11-trimethyl-",940414,1079153
"2,6-dihydrobenzoic acid 3TMS",38532,1403942
"2,7-exo-4,11,6-Dioxazatricyclo[6.2.1.0(2,7)]undec-9-ene-3,5-dione",20136,47354
2-13C-Methoxycyclohexane,72980,13810
2-Acetylthiazole,1543184,1516235
2-Butanone,8172286,6507696
"2-Heptanone, 4-methyl-",32038496,27019350
"2-Methyl-1,4-butanediol",443890,67743
2-Methyl-7-nitrobenzo[b]furan,18732,29196
2-Nitro-1-octanol,69626,31672
"2-Octanol, 2-methyl-",4409467,3851151
2-Pentadecanone,6895362,8145082
2-Propenoic acid,83946,38454
"2-Propenoic acid, 3-phenyl-, 2-methylpropyl ester",55532,149521
"2-Propenoic acid, methyl ester",36232,29831
2-Tetradecanone,2328162,2748078
2-Tridecanol,1456941,1183047
2-Tridecanone,17753275,18526384
2-Undecanone,6626097,6991527
"3,3,6-trimethyl-2-methylene-4-oxo-2,3-dihydrofuro[3,2-c]pyran",58359,58734
"3,3-dimethyl-2-phenylbutyl phenyl sulfone",20890,27838
3-(Hydroxymethyl)-1-phenyl-1-heptadecyn-3-ol,3223364,1478991
"3-Acetyl-2-methyl-9b-(1-naphthyl)-3aH-benzo[e]cyclohexa[1,2-b]furan",106472,100635
3-Hexadecanone,371790,466600
3-O-Ethoxymethyl-17.alpha.-carboxymethyl-17.beta.-estradiol,189322,778628
3-Pentadecanone,125719,158847
3-Tetradecanone,310152,281775
"4,4-Dideuteriomethoxycyclohexane",56270,27091
"4,5,6,8-PTetramethoxy-2,3-dihydroindeno[1,2,3-ij]isoquinolin-9-ol",4014831,901983
4-(2-Naphthyl)-5-phenyl-4H-dibenzophosphole oxide,32825,106022
4-Methyl-3-propylpyrrolidin-2-one,44178,5136
"5-Amino-1-methyl-1H-pyrazole-4-carboxamide, 3TMS",3498991,3492611
5-Chloro-3-(p-ethylphernyl)-2-nitrothiophene,222777,63587
5-{Ethoxycarbonyl}-N(1)-[3'-(N,34206,501587
"[1R*,5S*]-1-(Phenylsulfonyl)-2-oxo-3-oxabicyclo[3.1.0]hexane",1996,18834
Acetone,16165071,12291745
Acetophenone,984710,1258682
anti-3-Methyl-5-methylenenon-2-en-4-ol,66638,64006
"Benzenemethanol, .alpha.-methyl-, propanoate",337844,356708
Benzoic acid,1040225,988285
"Benzoic acid, 3-methyl-, methyl ester",119426,145903
Benzyl alcohol,7368589,8439950
cis and trans-3-(Fluorodimethylsilyl)cyclohexyl acetate,335024,683635
"cis-2-(2,2-Dichloroethyl)-3-methyloxetane",21675,23581
Cyclododecane,4279810,2878823
"Cyclohexasiloxane, dodecamethyl-",3006260,2030339
"Cyclooctasiloxane, hexadecamethyl-",773991,485354
Cyclopentadecanone,3474987,3881365
"Cyclopentasiloxane, decamethyl-",8974106,8744693
"Cyclotetrasiloxane, octamethyl-",17060236,13129883
Decanoic acid,418530,66339
dichloromethyl propyl sulfone,68110,34192
Didehydro-7-[(trimethylsilyl)oxy*]-9-ketoabietic acid - methyl ester,902946,847810
Dimethyl ether,101868907,97478231
Dodecanoic acid,779729,208547
"Dodecanoic acid, ethyl ester",1122273,1137400
"Ethanone, 1,1'-(1,4-phenylene)bis-",89831,94251
"Ethanone, 1-(2,4-dimethylphenyl)-",706383,717777
